q	Intensity	Error
2.70841	1.89E+07	0
2.70858	1.88E+07	0
2.71609	1.96E+07	0
2.71629	1.96E+07	0
2.72377	1.97E+07	0
2.72399	1.98E+07	0
2.73146	1.79E+07	0
2.7317	1.78E+07	0
2.73914	1.22E+07	0
2.7394	1.20E+07	0
2.74682	1.15E+07	0
2.74711	1.15E+07	0
2.75451	1.67E+07	0
2.75481	1.70E+07	0
2.76219	1.72E+07	0
2.76252	1.71E+07	0
2.76987	1.66E+07	0
2.77023	1.67E+07	0
2.77756	2.04E+07	0
2.77793	2.06E+07	0
2.78524	2.20E+07	0
2.78564	2.21E+07	0
2.79292	2.18E+07	0
2.79334	2.18E+07	0
2.80061	2.04E+07	0
2.80105	2.02E+07	0
2.80829	1.82E+07	0
2.80875	1.80E+07	0
2.81597	1.85E+07	0
2.81646	1.86E+07	0
2.82366	2.04E+07	0
2.82417	2.05E+07	0
2.83134	2.02E+07	0
2.83187	2.01E+07	0
2.83902	1.83E+07	0
2.83958	1.81E+07	0
2.84671	1.71E+07	0
2.84728	1.71E+07	0
2.85439	1.98E+07	0
2.85499	2.00E+07	0
2.86207	2.41E+07	0
2.86269	2.43E+07	0
2.86976	2.28E+07	0
2.8704	2.27E+07	0
2.87744	1.83E+07	0
2.87811	1.80E+07	0
2.88513	1.77E+07	0
2.88581	1.77E+07	0
2.89281	2.12E+07	0
2.89352	2.15E+07	0
2.90049	2.23E+07	0
2.90122	2.23E+07	0
2.90818	2.04E+07	0
2.90893	2.04E+07	0
2.91586	2.12E+07	0
2.91664	2.12E+07	0
2.92354	1.77E+07	0
2.92434	1.72E+07	0
2.93123	1.40E+07	0
2.93205	1.39E+07	0
2.93891	1.45E+07	0
2.93975	1.47E+07	0
2.94659	1.73E+07	0
2.94746	1.76E+07	0
2.95428	1.87E+07	0
2.95516	1.86E+07	0
2.96196	1.61E+07	0
2.96287	1.58E+07	0
2.96964	1.59E+07	0
2.97058	1.61E+07	0
2.97733	1.58E+07	0
2.97828	1.56E+07	0
2.98501	1.16E+07	0
2.98599	1.12E+07	0
2.99269	1.12E+07	0
2.99369	1.13E+07	0
3.00038	1.07E+07	0
3.0014	1.06E+07	0
3.00806	1.06E+07	0
3.0091	1.06E+07	0
3.01574	1.21E+07	0
3.01681	1.23E+07	0
3.02343	1.18E+07	0
3.02452	1.15E+07	0
3.03111	1.29E+07	0
3.03222	1.32E+07	0
3.03879	1.06E+07	0
3.03993	1.03E+07	0
3.04648	1.13E+07	0
3.04763	1.15E+07	0
3.05416	1.22E+07	0
3.05534	1.22E+07	0
3.06184	1.20E+07	0
3.06305	1.20E+07	0
3.06953	1.07E+07	0
3.07075	1.04E+07	0
3.07721	7.49E+06	0
3.07846	7.13E+06	0
3.08489	8.80E+06	0
3.08616	9.03E+06	0
3.09258	1.24E+07	0
3.09387	1.28E+07	0
3.10026	1.32E+07	0
3.10157	1.35E+07	0
3.10794	1.68E+07	0
3.10928	1.72E+07	0
3.11563	1.52E+07	0
3.11699	1.47E+07	0
3.12331	1.32E+07	0
3.12469	1.28E+07	0
3.13099	1.42E+07	0
3.1324	1.47E+07	0
3.13868	1.96E+07	0
3.1401	2.05E+07	0
3.14636	2.39E+07	0
3.14781	2.46E+07	0
3.15404	2.89E+07	0
3.15551	3.00E+07	0
3.16173	3.36E+07	0
3.16322	3.49E+07	0
3.16941	4.18E+07	0
3.17093	4.32E+07	0
3.1771	4.78E+07	0
3.17863	4.87E+07	0
3.18478	4.69E+07	0
3.18634	4.63E+07	0
3.19246	4.50E+07	0
3.19404	4.48E+07	0
3.20015	4.08E+07	0
3.20175	3.97E+07	0
3.20783	3.76E+07	0
3.20945	3.69E+07	0
3.21551	3.44E+07	0
3.21716	3.34E+07	0
3.2232	2.69E+07	0
3.22487	2.55E+07	0
3.23088	2.53E+07	0
3.23257	2.54E+07	0
3.23856	2.53E+07	0
3.24028	2.55E+07	0
3.24625	2.74E+07	0
3.24798	2.76E+07	0
3.25393	2.82E+07	0
3.25569	2.84E+07	0
3.26161	2.77E+07	0
3.2634	2.75E+07	0
3.2693	2.76E+07	0
3.2711	2.79E+07	0
3.27698	2.84E+07	0
3.27881	2.85E+07	0
3.28466	2.93E+07	0
3.28651	2.93E+07	0
3.29235	3.16E+07	0
3.29422	3.23E+07	0
3.30003	3.16E+07	0
3.30192	3.16E+07	0
3.30771	2.92E+07	0
3.30963	2.81E+07	0
3.3154	2.48E+07	0
3.31734	2.40E+07	0
3.32308	2.42E+07	0
3.32504	2.45E+07	0
3.33076	2.74E+07	0
3.33275	2.82E+07	0
3.33845	2.52E+07	0
3.34045	2.40E+07	0
3.34613	2.22E+07	0
3.34816	2.18E+07	0
3.35381	2.38E+07	0
3.35586	2.45E+07	0
3.3615	2.93E+07	0
3.36357	3.11E+07	0
3.36918	3.06E+07	0
3.37128	3.00E+07	0
3.37686	3.15E+07	0
3.37898	3.24E+07	0
3.38455	3.52E+07	0
3.38669	3.60E+07	0
3.39223	3.74E+07	0
3.39439	3.78E+07	0
3.39991	3.81E+07	0
3.4021	3.82E+07	0
3.4076	3.76E+07	0
3.4098	3.76E+07	0
3.41528	3.67E+07	0
3.41751	3.64E+07	0
3.42296	3.77E+07	0
3.42522	3.86E+07	0
3.43065	3.97E+07	0
3.43292	4.01E+07	0
3.43833	4.07E+07	0
3.44063	4.06E+07	0
3.44601	4.09E+07	0
3.44833	4.09E+07	0
3.4537	4.04E+07	0
3.45604	3.99E+07	0
3.46138	3.89E+07	0
3.46375	3.90E+07	0
3.46906	3.65E+07	0
3.47145	3.53E+07	0
3.47675	3.45E+07	0
3.47916	3.43E+07	0
3.48443	3.64E+07	0
3.48686	3.72E+07	0
3.49212	3.74E+07	0
3.49457	3.72E+07	0
3.4998	3.62E+07	0
3.50227	3.66E+07	0
3.50748	3.77E+07	0
3.50998	3.80E+07	0
3.51517	3.80E+07	0
3.51769	3.72E+07	0
3.52285	3.40E+07	0
3.52539	3.26E+07	0
3.53053	3.12E+07	0
3.5331	3.07E+07	0
3.53822	3.33E+07	0
3.5408	3.42E+07	0
3.5459	3.55E+07	0
3.54851	3.66E+07	0
3.55358	3.57E+07	0
3.55621	3.54E+07	0
3.56127	3.51E+07	0
3.56392	3.45E+07	0
3.56895	3.24E+07	0
